Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,1160.150024,1191.119995,0.118371,1175.439941,1175.439941,0
2016-01-01,1174.109985,1218.329956,0.120005,0.123381,0.123381,0
2016-02-01,1206.109985,1243.400024,0.120948,1241.130005,1241.130005,0
2016-03-01,1236.609985,1236.660034,0.116713,1140.229980,1140.229980,0
2016-04-01,1142.819946,1162.800049,0.114837,1143.000000,1143.000000,0
2016-05-01,0.114666,1193.979980,0.114679,1198.449951,1198.449951,0
2016-06-01,1191.060059,1195.099976,0.116537,1152.150024,1152.150024,0
2016-07-01,1152.459961,1168.199951,0.113779,0.113921,0.113921,0
2016-08-01,1109.949951,1128.199951,0.110473,1118.380005,1118.380005,0
2016-09-01,1114.250000,1133.520020,1085.550049,1101.619995,1101.619995,0
2016-10-01,1101.050049,1148.250000,0.111732,1146.699951,1146.699951,0
2016-11-01,1142.630005,1186.630005,1127.910034,1167.859985,1167.859985,0
2016-12-01,1177.449951,1213.729980,0.116891,1206.260010,1206.260010,0
2017-01-01,1206.260010,1211.680054,1148.410034,1169.209961,1169.209961,0
2017-02-01,1152.130005,1158.280029,1123.550049,1133.939941,1133.939941,0
2017-03-01,1136.839966,1160.829956,1105.660034,1117.020020,1117.020020,0
2017-04-01,0.111894,1149.439941,0.111894,1129.939941,1129.939941,0
2017-05-01,1136.390015,1140.869995,0.112486,1123.900024,1123.900024,0
2017-06-01,1118.689941,1146.680054,1113.869995,1146.140015,1146.140015,0
2017-07-01,1144.599976,1158.359985,0.113020,1124.050049,1124.050049,0
2017-08-01,1118.589966,1147.939941,0.112994,1123.329956,1123.329956,0
2017-09-01,1121.800049,1150.569946,0.113443,0.115380,0.115380,0
2017-10-01,1144.209961,1149.089966,1114.829956,1123.449951,1123.449951,0
2017-11-01,1117.000000,1121.869995,1073.329956,1080.660034,1080.660034,0
2017-12-01,1087.199951,1096.239990,1062.560059,1066.380005,1066.380005,0
2018-01-01,1066.050049,1077.530029,1055.209961,1072.540039,1072.540039,0
2018-02-01,1068.729980,1098.489990,1060.520020,1079.390015,1079.390015,0
2018-03-01,1085.250000,1087.739990,1059.489990,1059.900024,1059.900024,0
2018-04-01,1059.550049,1084.050049,1052.000000,1067.599976,1067.599976,0
2018-05-01,1069.410034,1087.270020,1063.959961,1075.030029,1075.030029,0
2018-06-01,1078.349976,1125.540039,1064.719971,1120.540039,1120.540039,0
2018-07-01,1113.920044,1140.599976,1108.300049,1116.670044,1116.670044,0
2018-08-01,1113.010010,1137.050049,1103.300049,1115.449951,1115.449951,0
2018-09-01,1114.890015,1136.750000,1106.199951,1109.160034,1109.160034,0
2018-10-01,1109.020020,1146.089966,1108.030029,1137.699951,1137.699951,0
2018-11-01,1140.949951,1141.709961,1110.199951,1117.020020,1117.020020,0
2018-12-01,1117.079956,1134.819946,1103.000000,1116.300049,1116.300049,0
2019-01-01,1112.449951,1133.569946,1108.030029,1109.000000,1109.000000,0
2019-02-01,1111.569946,1130.630005,1110.000000,1115.099976,1115.099976,0
2019-03-01,1124.400024,1139.329956,1122.699951,1135.900024,1135.900024,0
2019-04-01,1136.550049,1168.780029,1130.390015,1158.790039,1158.790039,0
2019-05-01,1163.800049,1196.229980,1159.709961,1188.380005,1188.380005,0
2019-06-01,1187.500000,1194.079956,1151.099976,1155.510010,1155.510010,0
2019-07-01,1155.489990,1186.020020,1149.209961,1180.650024,1180.650024,0
2019-08-01,1186.300049,1223.910034,1184.800049,1207.160034,1207.160034,0
2019-09-01,1207.729980,1216.599976,1174.400024,1201.910034,1201.910034,0
2019-10-01,1197.250000,1207.699951,1158.500000,1163.699951,1163.699951,0
2019-11-01,1168.300049,1182.079956,1151.920044,1181.569946,1181.569946,0
2019-12-01,1181.469971,1195.689941,1151.739990,1156.349976,1156.349976,0
2020-01-01,1154.400024,1197.839966,1145.199951,1187.119995,1187.119995,0
2020-02-01,1194.869995,1222.540039,1175.359985,1200.099976,1200.099976,0
2020-03-01,1200.099976,1291.760010,1166.280029,1222.699951,1222.699951,0
2020-04-01,1218.660034,1242.910034,1202.099976,1210.790039,1210.790039,0
2020-05-01,1212.959961,1243.810059,1212.949951,1230.270020,1230.270020,0
2020-06-01,1230.209961,1230.589966,1186.310059,1198.489990,1198.489990,0
2020-07-01,1197.459961,1207.800049,1186.170044,1189.560059,1189.560059,0
2020-08-01,1192.469971,1196.439941,1175.400024,1179.589966,1179.589966,0
2020-09-01,1185.300049,1191.500000,1155.589966,1167.859985,1167.859985,0
2020-10-01,1163.800049,1167.680054,1124.109985,1129.520020,1129.520020,0
2020-11-01,1131.069946,1147.089966,1118.020020,1121.150024,1121.150024,0
2020-11-09,1121.400024,1121.800049,1109.900024,1116.699951,1116.699951,0
